variant,model,signal,strategy,gross_final_value,net_final_value,total_drag,tc_total,tax_total,tc_drag_pct,tax_drag_pct
risk_parity|none|calendar,risk_parity,none,calendar,2.487687406572044,2.23437182508066,0.10182773801168399,0.011133414969327491,0.17348377382727848,0.011133414969327491,0.17348377382727848
risk_parity|none|threshold,risk_parity,none,threshold,2.456843359767582,2.35333651923691,0.042130012122736156,0.0023038788125096,0.081105190121374,0.0023038788125096,0.081105190121374
markowitz|historical_mean|calendar,markowitz,historical_mean,calendar,2.592030563965019,2.2256533515038583,0.14134756648112776,0.061634281048009824,0.1848531354689989,0.061634281048009824,0.1848531354689989
markowitz|historical_mean|threshold,markowitz,historical_mean,threshold,2.5999738253954745,2.2546047296310716,0.13283560487839519,0.055513096586191094,0.1745860240719731,0.055513096586191094,0.1745860240719731
mean_cvar|historical_mean|calendar,mean_cvar,historical_mean,calendar,2.4522219469863464,2.1095945569117736,0.1397211987665489,0.0520202151310646,0.1883655767137007,0.0520202151310646,0.1883655767137007
mean_cvar|historical_mean|threshold,mean_cvar,historical_mean,threshold,2.4805016002623126,2.153830359852859,0.13169563783990623,0.0431143693685187,0.1834348072590627,0.0431143693685187,0.1834348072590627
markowitz|capm|calendar,markowitz,capm,calendar,3.3899938535074936,2.937777409851234,0.13339742288569906,0.02611850996493351,0.2715782308864639,0.02611850996493351,0.2715782308864639
markowitz|capm|threshold,markowitz,capm,threshold,3.33455932279254,2.9355609329340604,0.1196555080400659,0.019368475936782,0.25932643097424474,0.019368475936782,0.25932643097424474
mean_cvar|capm|calendar,mean_cvar,capm,calendar,2.2883312414712966,1.9695674071807276,0.1392996907587635,0.04623114414842583,0.19864243626737663,0.04623114414842583,0.19864243626737663
mean_cvar|capm|threshold,mean_cvar,capm,threshold,2.2933582539900352,2.007053619426027,0.12484078057402903,0.0331834514645504,0.1851154737687632,0.0331834514645504,0.1851154737687632
markowitz|ff3f|calendar,markowitz,ff3f,calendar,2.7183862062249102,2.3040153382751303,0.15243267016323886,0.055563937447137876,0.2268120284893591,0.055563937447137876,0.2268120284893591
markowitz|ff3f|threshold,markowitz,ff3f,threshold,2.722489953047113,2.331738001977927,0.14352741711015024,0.0475198857459836,0.2219031651763202,0.0475198857459836,0.2219031651763202
mean_cvar|ff3f|calendar,mean_cvar,ff3f,calendar,2.28982658678735,1.9719529082226213,0.13881997894465392,0.04890812462835021,0.1922072868009948,0.04890812462835021,0.1922072868009948
mean_cvar|ff3f|threshold,mean_cvar,ff3f,threshold,2.281375808644601,2.0001918290069405,0.12325193357981483,0.0331887705685396,0.1805515641565916,0.0331887705685396,0.1805515641565916
60_40|none|calendar,60_40,none,calendar,4.101523259624462,3.649346139066613,0.11024614318516641,0.008480156995325661,0.29053056157348395,0.008480156995325661,0.29053056157348395
equal_weight|none|calendar,equal_weight,none,calendar,2.861283109494867,2.5824198623595693,0.09746090703500102,0.007620896590078787,0.19141262352400618,0.007620896590078787,0.19141262352400618
