model,signal,strategy,year,tax
markowitz,capm,threshold,2015,0.006537198583258344
markowitz,capm,threshold,2016,0.01625336653245036
markowitz,capm,threshold,2017,0.009185736713914863
markowitz,capm,threshold,2018,0.024500031109382137
markowitz,capm,threshold,2019,0.02194791788941217
markowitz,capm,threshold,2020,0.058657850089995245
markowitz,capm,threshold,2021,0.018138548747556018
markowitz,capm,threshold,2022,6.774109781485427e-05
markowitz,capm,threshold,2023,0.01876273412708002
markowitz,capm,threshold,2024,0.056546491298382025
mean_cvar,capm,calendar,2010,0.0024209957108131384
mean_cvar,capm,calendar,2011,0.019421722981547908
mean_cvar,capm,calendar,2012,0.024985146164999732
mean_cvar,capm,calendar,2013,0.014235001269727338
mean_cvar,capm,calendar,2014,0.02103107969529821
mean_cvar,capm,calendar,2015,0.011928162659629177
mean_cvar,capm,calendar,2016,0.008966181929045554
mean_cvar,capm,calendar,2017,0.014552056643844664
mean_cvar,capm,calendar,2018,0.008736210989988646
mean_cvar,capm,calendar,2019,0.02185628627013467
mean_cvar,capm,calendar,2020,0.02257289450160077
mean_cvar,capm,calendar,2021,0.021279818827422827
mean_cvar,capm,calendar,2022,0.0
mean_cvar,capm,calendar,2023,0.0
mean_cvar,capm,calendar,2024,0.006656878623324525
mean_cvar,capm,threshold,2010,0.0018429397009714428
mean_cvar,capm,threshold,2011,0.015566610616671065
mean_cvar,capm,threshold,2012,0.0226904511187522
mean_cvar,capm,threshold,2013,0.012625790280401991
mean_cvar,capm,threshold,2014,0.027226039216637694
mean_cvar,capm,threshold,2015,0.013894094130424885
mean_cvar,capm,threshold,2016,0.004499112603853579
mean_cvar,capm,threshold,2017,0.008270865973914358
mean_cvar,capm,threshold,2018,0.015426979454352747
mean_cvar,capm,threshold,2019,0.017205952140638758
mean_cvar,capm,threshold,2020,0.02539527358153894
mean_cvar,capm,threshold,2021,0.016914888602123087
mean_cvar,capm,threshold,2022,0.0
mean_cvar,capm,threshold,2023,0.0
mean_cvar,capm,threshold,2024,0.003556476348483259
markowitz,ff3f,calendar,2010,0.0
markowitz,ff3f,calendar,2011,0.008226972622458384
markowitz,ff3f,calendar,2012,0.020796086237635594
markowitz,ff3f,calendar,2013,0.007142313191201178
markowitz,ff3f,calendar,2014,0.01803363014785749
markowitz,ff3f,calendar,2015,0.0061715694780049325
markowitz,ff3f,calendar,2016,0.009076270677575672
markowitz,ff3f,calendar,2017,0.027806888378961607
markowitz,ff3f,calendar,2018,0.011789375490312236
markowitz,ff3f,calendar,2019,0.023435004495371184
markowitz,ff3f,calendar,2020,0.0342937799398036
markowitz,ff3f,calendar,2021,0.03064890488720154
markowitz,ff3f,calendar,2022,0.0
markowitz,ff3f,calendar,2023,0.0
markowitz,ff3f,calendar,2024,0.029391232942976363
markowitz,ff3f,threshold,2010,0.0
markowitz,ff3f,threshold,2011,0.009201234010320728
markowitz,ff3f,threshold,2012,0.021172167181821144
markowitz,ff3f,threshold,2013,0.006944810113114574
markowitz,ff3f,threshold,2014,0.014180554043151687
markowitz,ff3f,threshold,2015,0.0010739788307057312
markowitz,ff3f,threshold,2016,0.005561442815087193
markowitz,ff3f,threshold,2017,0.031056221021419136
markowitz,ff3f,threshold,2018,0.017004677535025575
markowitz,ff3f,threshold,2019,0.027152924590611433
markowitz,ff3f,threshold,2020,0.02504851934218498
markowitz,ff3f,threshold,2021,0.03331284934180125
markowitz,ff3f,threshold,2022,0.0
markowitz,ff3f,threshold,2023,0.0
markowitz,ff3f,threshold,2024,0.03019378635107744
mean_cvar,ff3f,calendar,2010,0.003993015951811934
mean_cvar,ff3f,calendar,2011,0.015177890535351561
mean_cvar,ff3f,calendar,2012,0.02772741512301217
mean_cvar,ff3f,calendar,2013,0.012844465554455143
mean_cvar,ff3f,calendar,2014,0.015272958016371668
mean_cvar,ff3f,calendar,2015,0.006537553245425171
mean_cvar,ff3f,calendar,2016,0.009856509718949219
mean_cvar,ff3f,calendar,2017,0.019581458602393582
mean_cvar,ff3f,calendar,2018,0.006050705599976924
mean_cvar,ff3f,calendar,2019,0.02080060256779853
mean_cvar,ff3f,calendar,2020,0.02280672529913001
mean_cvar,ff3f,calendar,2021,0.022904174037132494
mean_cvar,ff3f,calendar,2022,0.0
mean_cvar,ff3f,calendar,2023,0.0
mean_cvar,ff3f,calendar,2024,0.008653812549187062
mean_cvar,ff3f,threshold,2010,0.0015487326765861007
mean_cvar,ff3f,threshold,2011,0.007221632257156167
mean_cvar,ff3f,threshold,2012,0.030383281006100583
mean_cvar,ff3f,threshold,2013,0.012099715742677375
mean_cvar,ff3f,threshold,2014,0.01867679482500931
mean_cvar,ff3f,threshold,2015,0.007437033251044688
mean_cvar,ff3f,threshold,2016,0.00559745971139387
mean_cvar,ff3f,threshold,2017,0.01818996110703264
mean_cvar,ff3f,threshold,2018,0.007207303643057888
mean_cvar,ff3f,threshold,2019,0.027011311999533275
mean_cvar,ff3f,threshold,2020,0.013584468716813895
mean_cvar,ff3f,threshold,2021,0.01788677932046144
mean_cvar,ff3f,threshold,2022,0.0
mean_cvar,ff3f,threshold,2023,0.002876343959572539
mean_cvar,ff3f,threshold,2024,0.010830745940152634
60_40,none,calendar,2010,0.003437231930043359
60_40,none,calendar,2011,0.008125419487315102
60_40,none,calendar,2012,0.009246858157618262
60_40,none,calendar,2013,0.011130244625422298
60_40,none,calendar,2014,0.0051205922692542155
60_40,none,calendar,2015,0.019297821657641635
60_40,none,calendar,2016,0.015297658429572352
60_40,none,calendar,2017,0.009787146075418578
60_40,none,calendar,2018,0.014962466666191167
60_40,none,calendar,2019,0.032896073774251446
60_40,none,calendar,2020,0.05027313490408248
60_40,none,calendar,2021,0.03383815424904252
60_40,none,calendar,2022,0.031203458731859642
60_40,none,calendar,2023,0.019265553224373032
60_40,none,calendar,2024,0.026648747391398622
