date,risk_parity|none|calendar,risk_parity|none|threshold,markowitz|historical_mean|calendar,markowitz|historical_mean|threshold,mean_cvar|historical_mean|calendar,mean_cvar|historical_mean|threshold,markowitz|capm|calendar,markowitz|capm|threshold,mean_cvar|capm|calendar,mean_cvar|capm|threshold,markowitz|ff3f|calendar,markowitz|ff3f|threshold,mean_cvar|ff3f|calendar,mean_cvar|ff3f|threshold,60_40|none|calendar,equal_weight|none|calendar
2010-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1.9973041042459013e-05,0.0,0.00014304965366598323,0.00014304965366598323,4.6827498104195684e-05,0.0,6.500999741495056e-05,0.0,4.657229723662551e-05,0.0,2.4373202009541855e-06,0.0,4.0373650816802564e-05,0.0,1.6617078531079596e-05,1.7081324740021126e-05
2010-04-30,4.394227476281848e-05,0.0,3.108937746966228e-05,0.0,3.4126192844425424e-05,0.0,0.00024218606121047937,0.00030576369085777503,2.3948309051833694e-05,0.0,0.00023021143294463657,0.00022972748290404712,5.28621510643499e-05,0.0,3.977520981044667e-05,3.897976602741215e-05
2010-05-31,2.613669218366073e-05,0.0,0.0001115046355053528,0.0,5.198486495420284e-05,0.0,0.00014357980836979538,0.0001435177315223681,7.084920599408671e-05,0.0,0.00043107990995419057,0.00043109352804644556,5.022785861894254e-05,0.0,8.911352205723328e-06,2.7198906065508293e-05
2010-06-30,3.6708053736083096e-05,0.0,9.646432732832368e-05,0.00016101881644717215,0.000105178121351601,0.00010617555461187375,0.0002553857736709138,0.00025527535742306354,8.630621931722906e-05,0.0,0.0010222668788685005,0.0010222991729382177,5.540285470335057e-05,0.0,6.702492031742709e-05,5.2814202183934626e-05
2010-07-30,3.643565529475766e-05,0.0,4.403989797085603e-05,0.0,2.0305310404874045e-05,0.0,1.504207427145308e-05,0.0,2.6406333949485718e-05,0.0,1.2783834273579208e-05,0.0,1.9358467236410766e-05,0.0,5.479685409618697e-05,3.843013258261587e-05
2010-08-31,4.968724338261838e-05,0.0,0.00022255377859623052,0.000224412543421351,0.00013624316301249982,0.0,1.773733825773222e-05,0.0,7.729178368963912e-05,0.0,0.0012438702074303747,0.0012474265721590446,0.00013984792462088373,0.0,3.853102140560298e-05,4.650926288508878e-05
2010-09-30,4.770554126320687e-05,0.0,0.00011290120958374943,0.0,4.2090650890772885e-05,0.0,2.2086099234834663e-05,0.0,4.377072164262597e-05,0.0,0.0012160788549150723,0.001215963993978493,6.92335524879287e-05,0.0,6.623562306363278e-05,4.575426057097114e-05
2010-10-29,5.3308553697933307e-05,0.0,9.798910566162942e-05,0.0,7.110206445741561e-05,0.0,2.2598236168335816e-05,0.0,3.1036530755950196e-05,0.0,0.0012164698076663637,0.0012163549098035617,8.94217123736744e-05,0.00014574186307981477,5.935773372355386e-05,4.5601098391178606e-05
2010-11-30,2.7283458548678394e-05,0.0,0.00010240731201159385,0.0,8.136264936298124e-05,0.00022817367921530466,3.127717727638352e-05,0.0,2.4445839390656033e-05,0.0,2.112084725015217e-05,0.0,4.034617629837235e-05,0.0,4.474535981417748e-05,2.5787202515932455e-05
