Date,SPY,IWM,EFA,EEM,TLT,IEF,LQD,VNQ,GLD,XLP
2007-01-03,99.3948974609375,60.52887725830078,41.73823165893555,25.826175689697266,49.17268371582031,50.98440170288086,50.064666748046875,34.970375061035156,62.279998779296875,15.836661338806152
2007-01-04,99.60584259033203,60.69152069091797,41.61900329589844,25.46953010559082,49.47084426879883,51.169395446777344,50.44091796875,35.015708923339844,61.650001525878906,15.860758781433105
2007-01-05,98.81137084960938,59.42145538330078,40.99442672729492,24.724842071533203,49.255523681640625,51.00289535522461,50.407955169677734,34.367286682128906,60.16999816894531,15.746306419372559
2007-01-08,99.26838684082031,59.18913269042969,41.051204681396484,24.90428352355957,49.343868255615234,51.039878845214844,50.393882751464844,34.41715621948242,60.47999954223633,15.770401954650879
2007-01-09,99.18399047851562,59.74673080444336,41.09096145629883,24.34801483154297,49.343868255615234,51.02754592895508,50.403263092041016,34.85246658325195,60.849998474121094,15.806549072265625
2007-01-10,99.51445007324219,60.21135711669922,40.77867126464844,24.29193687438965,49.12303924560547,50.94124984741211,50.337425231933594,35.301395416259766,60.59000015258789,15.872803688049316
2007-01-11,99.95033264160156,60.583106994628906,41.039859771728516,24.599239349365234,48.83590316772461,50.80556869506836,50.182212829589844,35.75938034057617,60.630001068115234,15.993276596069336
2007-01-12,100.70968627929688,61.16392135620117,41.50544357299805,25.09942626953125,48.60954666137695,50.70071029663086,50.13044738769531,35.872737884521484,62.16999816894531,15.96918773651123
2007-01-16,100.5128173828125,60.753482818603516,41.454349517822266,25.189146041870117,48.71442794799805,50.799442291259766,50.186912536621094,36.380611419677734,61.970001220703125,15.981246948242188
2007-01-17,100.5550537109375,60.49015426635742,41.47705841064453,25.083728790283203,48.565364837646484,50.70071029663086,50.11634826660156,36.367008209228516,62.63999938964844,16.029422760009766
2007-01-18,100.21749114990234,59.98678970336914,41.33509826660156,24.819049835205078,48.71442794799805,50.768577575683594,50.262142181396484,36.32166290283203,62.2599983215332,16.005327224731445
2007-01-19,100.41441345214844,60.2191047668457,41.840431213378906,25.265409469604492,48.5818977355957,50.68839645385742,50.23392868041992,36.684417724609375,63.0,16.029422760009766
2007-01-22,100.1050033569336,59.777687072753906,41.6303596496582,25.23625373840332,48.69789505004883,50.78091812133789,50.266868591308594,36.376075744628906,62.720001220703125,16.0113525390625
2007-01-23,100.40031433105469,60.34302520751953,41.999427795410156,25.810461044311523,48.37763214111328,50.63291931152344,50.13044738769531,36.548397064208984,64.2300033569336,16.041479110717773
2007-01-24,101.2088851928711,61.00129699707031,42.27195739746094,26.034772872924805,48.372100830078125,50.63908767700195,50.153987884521484,37.02451705932617,64.33000183105469,16.101715087890625
2007-01-25,100.02067565917969,60.234615325927734,41.58494186401367,25.23401641845703,48.024295806884766,50.44175720214844,49.994075775146484,37.25125503540039,64.05999755859375,15.999305725097656
2007-01-26,99.92926788330078,60.45920944213867,41.66441345214844,25.38877296447754,47.98561096191406,50.43555450439453,49.96119689941406,37.37366485595703,64.16999816894531,15.957137107849121
2007-01-29,99.87300872802734,60.98579788208008,41.7098503112793,25.052322387695312,47.880699157714844,50.39857864379883,49.937686920166016,37.49610900878906,63.77000045776367,15.999305725097656
2007-01-30,100.3932876586914,61.31880569458008,41.99374771118164,25.440372467041016,47.93592834472656,50.44794464111328,50.00821304321289,37.682029724121094,64.22000122070312,15.987260818481445
2007-01-31,101.06827545166016,61.45048141479492,42.15273666381836,25.63775634765625,48.338985443115234,50.63291931152344,50.21982192993164,37.981300354003906,64.83000183105469,16.053525924682617
2007-02-01,101.67293548583984,62.108699798583984,42.50475311279297,25.9517765045166,48.28078079223633,50.596412658691406,50.199520111083984,38.13094711303711,65.22000122070312,16.11376190185547
2007-02-02,101.81352233886719,62.14741897583008,42.419586181640625,25.873268127441406,48.341732025146484,50.63972854614258,50.246768951416016,38.19895553588867,64.27999877929688,16.143877029418945
2007-02-05,101.84165954589844,62.13969039916992,42.283321380615234,25.897947311401367,48.40830993652344,50.695438385009766,50.312862396240234,38.19895553588867,64.30999755859375,16.089658737182617
2007-02-06,101.86978149414062,62.29457473754883,42.61262512207031,26.153654098510742,48.67437744140625,50.8377799987793,50.44517517089844,38.76124954223633,64.79000091552734,16.065574645996094
2007-02-07,102.09477233886719,62.86766052246094,42.731868743896484,26.052717208862305,48.81853485107422,50.94923782348633,50.51597595214844,39.57292175292969,64.62999725341797,16.029422760009766
