Date,SPY,IWM,EFA,EEM,TLT,IEF,LQD,VNQ,GLD,XLP
2007-01-31,101.06827545166016,61.45048141479492,42.15273666381836,25.63775634765625,48.338985443115234,50.63291931152344,50.21982192993164,37.981300354003906,64.83000183105469,16.053525924682617
2007-02-28,99.08554077148438,61.04776382446289,42.10163879394531,24.80783462524414,49.977169036865234,51.67344284057617,51.2244873046875,36.95649719238281,66.4800033569336,15.806549072265625
2007-03-30,100.23384857177734,61.64615249633789,43.32237243652344,26.1312198638916,49.12736511230469,51.60200119018555,50.87870407104492,36.18967819213867,65.73999786376953,16.13317108154297
2007-04-30,104.67376708984375,62.64708709716797,44.946250915527344,27.10468864440918,49.57200622558594,51.914939880371094,51.33236312866211,36.14407730102539,67.08999633789062,16.587202072143555
2007-05-31,108.22430419921875,65.38603973388672,46.00801467895508,28.477426528930664,48.42503356933594,51.191532135009766,50.700557708740234,36.00725173950195,65.54000091552734,16.811185836791992
2007-06-29,106.64202117919922,64.44562530517578,45.86039733886719,29.52490997314453,47.93427276611328,50.9521598815918,50.289878845214844,32.76380920410156,64.2699966430664,16.47620391845703
2007-07-31,103.30304718017578,59.93679428100586,44.80997848510742,29.735755920410156,49.52519226074219,52.10207748413086,49.87546157836914,30.057735443115234,65.79000091552734,16.007192611694336
2007-08-31,104.62871551513672,61.211669921875,44.526092529296875,30.0452880859375,50.41055679321289,53.28114700317383,51.06557083129883,32.084983825683594,66.5199966430664,16.38484001159668
2007-09-28,108.67931365966797,62.373687744140625,46.893768310546875,33.52197265625,50.52558898925781,53.328243255615234,51.44007873535156,33.34184265136719,73.51000213623047,17.137609481811523
2007-10-31,110.15372467041016,64.15047454833984,48.88671112060547,37.501094818115234,51.44321060180664,53.90248107910156,51.93631362915039,34.04169845581055,78.62000274658203,17.40097427368164
2007-11-30,105.88716888427734,59.7319450378418,47.115211486816406,34.63227844238281,54.19605255126953,56.084251403808594,52.465789794921875,30.817642211914062,77.31999969482422,17.878726959228516
2007-12-31,104.69483947753906,59.3466796875,45.7105827331543,34.14511489868164,53.85588455200195,56.11260223388672,52.04426956176758,29.149484634399414,82.45999908447266,17.730348587036133
2008-01-31,98.36485290527344,55.46843338012695,42.12360382080078,31.0986328125,54.984642028808594,57.995723724365234,53.37961959838867,28.92181968688965,91.4000015258789,16.745323181152344
