date,variant,SPY,IWM,EFA,EEM,TLT,IEF,LQD,VNQ,GLD,XLP
2010-02-26,historical_mean,-0.0755509568267637,-0.079953755375823,-0.08671984284740664,0.01975821289967534,0.06032256650916599,0.07426401410032639,0.051042422739406776,-0.1732601328878931,0.1637643894442376,0.01992047698282283
2010-02-26,capm,-0.04677592964315781,-0.059659634201734896,-0.059312892590687276,-0.07831865793933698,0.022663026617216912,0.022759484555095764,0.002249073657776342,-0.09405678804292902,0.012541092452415512,-0.020115676286606245
2010-02-26,ff3f,-0.05079998255716391,-0.041879095420385135,-0.067084453034786,-0.06366110765018108,0.0008460354010088123,0.009886524495328024,0.008437443819901583,-0.10722125094152476,-0.005232919078108101,-0.031179740398058896
2010-03-31,historical_mean,-0.058707370305923164,-0.06316908188517631,-0.08542750562753454,0.03659638470861698,0.04807002818530266,0.06858768976396662,0.0461246563574777,-0.14603303921091348,0.1661279590588483,0.035484503449236496
2010-03-31,capm,-0.030064654251855373,-0.039636702120783615,-0.038813829523453976,-0.052352046716615565,0.02040764928223891,0.02048092420372097,0.00563419076669554,-0.0646232334007661,0.01281007144721751,-0.010714260478671786
2010-03-31,ff3f,-0.03374733274857995,-0.022909964904317962,-0.045898685800899425,-0.04061522282391802,0.0014394457275673858,0.009056691180927261,0.010646528994970861,-0.07248858664219195,-0.005177413081001078,-0.02034615112212737
2010-04-30,historical_mean,-0.04284877910014228,-0.04005561483749385,-0.0743224130759044,0.04526837566309544,0.04685705032294057,0.0655073664992036,0.05054805957665415,-0.10670839736344331,0.1683938325463559,0.04099399047339146
2010-04-30,capm,-0.012679013103613548,-0.01863695972960327,-0.017870860083198475,-0.025913224650609683,0.018351383058176057,0.018296505325711247,0.009245278049710799,-0.03380034683698272,0.013763366996526041,-0.000810196756107215
2010-04-30,ff3f,-0.01668791048524875,0.0004794101144610938,-0.025848095226310604,-0.01761991084349433,0.00021441025377107095,0.006954389850945874,0.013769601802735553,-0.03500660482674682,-0.007612313335470544,-0.010409473450275486
2010-05-31,historical_mean,-0.052179037276902186,-0.0270141610657475,-0.096070511203128,0.03252203248103302,0.05474656231260757,0.06895617715194804,0.05388870330303114,-0.08326769566280257,0.18067424394590378,0.028142939587075692
2010-05-31,capm,-0.019056766435176804,-0.02662081258515814,-0.024964173060493713,-0.03466391553822232,0.017053932567239603,0.0170541363023215,0.006394853856686901,-0.04475464516626572,0.011563423408045954,-0.005081652033027166
2010-05-31,ff3f,-0.026135481615455276,0.014025657625484512,-0.045963624129556895,-0.044915967377813185,-0.0017123484590799258,0.0023469835911363113,0.010783253979027279,-0.014708140567301787,-0.03199066710143898,-0.02157714014527537
2010-06-30,historical_mean,-0.09089458315296349,-0.06739712416377988,-0.14342077378431586,-0.01682813877523436,0.0791571202437672,0.08327020229665884,0.05362731154213807,-0.10027741408195168,0.1984846335419915,0.007860718667464161
2010-06-30,capm,-0.057633098003705044,-0.07263225421162794,-0.07098978950150028,-0.08983966923169892,0.018802687164776122,0.018079104875482865,-0.005009391023318877,-0.10893685414488373,0.00628027538475978,-0.02885885785978904
2010-06-30,ff3f,-0.06546776016934086,-0.026505854008804,-0.09524058593482407,-0.10463886626885635,0.0006861897338931288,0.0028551357099083135,-0.0014437967257297252,-0.0687922383776856,-0.04353565395883827,-0.04673915402408099
2010-07-30,historical_mean,-0.10369422041567586,-0.0894337443422071,-0.14929458163138182,-0.03356405598957084,0.10133889247152579,0.09484168920943298,0.06709146506033745,-0.08665549865693489,0.21276724776919914,0.006023125404916431
2010-07-30,capm,-0.070836722476385,-0.0889597512437583,-0.08516136537984464,-0.1071557319977232,0.019967983507983057,0.01826616655757387,-0.008089948855390447,-0.12909386064542994,0.004408495089317675,-0.03708922556971324
2010-07-30,ff3f,-0.07801108552439684,-0.048835834381984175,-0.10791751357173393,-0.11752897786882566,0.00043837777950730527,0.003390995020711783,-0.0044204852835428455,-0.10113047445482226,-0.037116700453247956,-0.053710338788848566
2010-08-31,historical_mean,-0.0710675662478055,-0.04354310543473627,-0.10495605997009991,-0.0013521850246177394,0.08728569850317519,0.09042096889376162,0.07681218717514951,-0.027384787120343625,0.18757202087202707,0.034455351225802205
2010-08-31,capm,-0.036645428371646485,-0.04615162163603043,-0.0459733345036961,-0.058010428010392204,0.0155785741284718,0.014254042359394892,-0.00040213751049341913,-0.06893465701963405,0.008513515429185135,-0.0173618393398483
2010-08-31,ff3f,-0.044182463713619516,-0.003946197282549833,-0.07019391387482167,-0.06598933382379427,-0.004229811199768129,-0.0015244379250377686,0.0030380189477763513,-0.03964047806891481,-0.03458006071171325,-0.036717754933000196
2010-09-30,historical_mean,-0.09065921210639957,-0.07634370219805424,-0.11573390891184128,-0.015771547291609615,0.10823758674429032,0.0939646287607872,0.07833622762182671,-0.053420721657715345,0.2023913262250858,0.02044702336835586
2010-09-30,capm,-0.05701248420441968,-0.07079870808445665,-0.0698103259060994,-0.08644180107794705,0.017431179422097036,0.014644177493598025,-0.005666304622057203,-0.10065752029547909,0.006867388899439254,-0.0299719523555713
2010-09-30,ff3f,-0.06373075275541196,-0.03271838198296003,-0.09266330444434959,-0.09868920070510316,-0.002725047593566661,0.00028602287733041614,-0.005846457259795185,-0.0751606356623654,-0.03414022029063562,-0.046295868990279855
2010-10-29,historical_mean,-0.07473058746639803,-0.043513287145687515,-0.10131869281745343,-0.015216720639967466,0.098968830760822,0.09366025333617992,0.07741911058871981,-0.051650229979456494,0.18463514659841967,0.025016229627102003
2010-10-29,capm,-0.036648368080989854,-0.04670383350539886,-0.045061899915507374,-0.055450697010144004,0.014681898674799927,0.012049912210584981,-0.001120728142444348,-0.06335991337586927,0.0068871706612073915,-0.01812872999564324
2010-10-29,ff3f,-0.04614177046914669,0.00438123292245216,-0.07688279178384548,-0.0689322097554632,-0.01656069632719607,-0.00900914083934246,-0.004542463996637939,-0.041605487460842284,-0.039509703207517316,-0.039414459202625186
2010-11-30,historical_mean,-0.06672561005611535,-0.03932784962529705,-0.10274262399091658,-0.04270347889205784,0.07772857299042599,0.09006620238813397,0.0733417672377203,-0.04312896336440315,0.17428723473134472,0.030407156949733276
2010-11-30,capm,-0.030833945762354938,-0.03922893863654992,-0.037762227674752805,-0.0459787877661841,0.013362819456013298,0.010598548670284928,-0.0004625543486417522,-0.053343943915609544,0.0062124810966489065,-0.015136562000131967
2010-11-30,ff3f,-0.0405994889421311,0.013276276201634652,-0.07035978536653759,-0.05970261251049411,-0.01914429504430765,-0.011045157576206848,-0.0042816650848927825,-0.030877436250130626,-0.04092367094106362,-0.03693940102305758
2010-12-31,historical_mean,-0.05355800855435465,-0.004120704413450154,-0.10691915909167535,-0.026003919529301495,0.05467313706758081,0.07383264958074473,0.06453245491731241,-0.0161922751432297,0.1868094653809953,0.01612382142070901
2010-12-31,capm,-0.014093453860818155,-0.01847721775713085,-0.017856704683498974,-0.02203390289392991,0.009501500465475784,0.008076895147547294,0.0022412908285515225,-0.025928255978902606,0.006084144231741579,-0.005900367719083463
2010-12-31,ff3f,-0.025727977635519348,0.04913042153637606,-0.06325251438909897,-0.0470756502636613,-0.02942596089712577,-0.01775646028273909,-0.0045573204879422536,-0.005270791048093266,-0.05645695302186074,-0.030141355348496282
2011-01-31,historical_mean,-0.028212359163057085,0.023792798593593158,-0.07022727826919693,0.0021354904340877326,0.044207778592136475,0.062027092182057084,0.0647050106214463,0.01719163753812658,0.1733814018853082,0.033253578918931236
2011-01-31,capm,0.010623347609779295,0.01160339272005445,0.011486755171631162,0.012370781970740728,0.005206456248461256,0.005523028459453696,0.006861469548932179,0.013155787779844334,0.00608247677192025,0.008766118545111862
2011-01-31,ff3f,-0.0006443325889062155,0.07854783597017223,-0.03352370724959882,-0.013713784570876518,-0.028172035472089546,-0.016668450550732267,0.0008272143816102609,0.0440866877301602,-0.055663109451566106,-0.014230649960047014
2011-02-28,historical_mean,0.00025399697549063904,0.04508254049868372,-0.036073953941042784,0.020230603608574423,0.026861409520542924,0.050953019463509386,0.056383136392959374,0.03046921415838872,0.11709613912322739,0.04737993738431661
2011-02-28,capm,0.037651204011229254,0.04428629828015516,0.04349611248544973,0.04920186450733198,0.00045008437620679543,0.0029486631641579193,0.012249148772554359,0.05623270481750414,0.007491015463941786,0.0244238579341885
2011-02-28,ff3f,0.027351968630547407,0.10148651289374533,0.005811539616416359,0.04635062124701443,-0.03174288831965277,-0.01582470614869933,0.014336166036807724,0.06293370023323164,-0.02006670706830738,0.004616803165553124
2011-03-31,historical_mean,0.02036389000381205,0.07298178778593967,-0.021019134306755154,0.013502739816456602,0.03383861855639002,0.04615245335604438,0.06232625390867745,0.0565724266137468,0.1195218215167676,0.05779584464272616
2011-03-31,capm,0.059254173909287736,0.07047119131444207,0.06935408793901782,0.0788095825537703,-0.0031295424909867837,0.0010278384503712872,0.016508730494252232,0.09042001765382357,0.009709445338224251,0.03721628563729285
2011-03-31,ff3f,0.04872372397751269,0.1306717230099408,0.030953992090708864,0.0770412850511614,-0.036696170601365735,-0.01840608681979651,0.01833675376910718,0.09884084671066008,-0.017702065865143,0.01708294786387489
2011-04-29,historical_mean,0.023398036714563048,0.08351439428182338,-0.03047055605112239,0.04658622302475876,0.02688192463793392,0.04120823384553812,0.06251649166201488,0.03021404334597423,0.14542900179496177,0.05129484136920604
2011-04-29,capm,0.06337333720874651,0.0755480722208323,0.07444982394678618,0.08444811075426022,-0.0042541911700343825,0.00021256352367569399,0.016917523213500794,0.09764720033799476,0.009172449843440848,0.039641477847675036
2011-04-29,ff3f,0.05227432157072604,0.13938571560290652,0.03264393907428422,0.09107279447350283,-0.04139316537333051,-0.020865766835098748,0.01884547017598614,0.09919032420592802,-0.016809616961526684,0.018897409654184426
2011-05-31,historical_mean,0.01739432175808429,0.07734726646302054,-0.0298774554603629,0.026424421836084344,0.04298133131311475,0.055446832497214354,0.0666384979876697,0.028225687599797503,0.18814490255473515,0.07118205311620852
2011-05-31,capm,0.05705930586711799,0.06818321661963354,0.06725436510553584,0.07561275842481904,-0.0034493502386165665,0.0005694757205846018,0.015279558073241833,0.08827846617221696,0.009672478272061729,0.03651776608835343
2011-05-31,ff3f,0.045014664984050996,0.1371264063723006,0.020812053625743704,0.08560141275192854,-0.047414890276694155,-0.026456283137610292,0.016090311319786714,0.09027465880600258,-0.029929252531742268,0.007823562373013225
2011-06-30,historical_mean,0.008633766714135217,0.056385558277000064,-0.04124744869411749,0.006094880012726175,0.06328361327230196,0.06967421077237479,0.07827625949200027,0.03348088537968373,0.179055079611236,0.06945761204195873
2011-06-30,capm,0.04596146296532203,0.054841332792711917,0.05418064050300826,0.06088689477789684,-0.002643527756289209,0.0005950817866062957,0.012496554655362337,0.07100007016016235,0.008094542291573836,0.029263853117782367
2011-06-30,ff3f,0.035221249740647054,0.11407942017298567,0.01319715344941722,0.0715652673197377,-0.04127226131123525,-0.021997515671117907,0.017304568690793703,0.07003560936848946,-0.023059164368870955,0.0005925207152508066
2011-07-29,historical_mean,0.032054820829626955,0.07435504546569481,-0.01465103160214743,0.03538742816996778,0.04671850196084308,0.06419058365925567,0.07994194990770732,0.05970499906356781,0.1561203755179047,0.08001588856691072
2011-07-29,capm,0.06762665590339052,0.08220497593349867,0.08068557903868223,0.09105614254235433,-0.005532900070568346,-0.0011905569991973197,0.016859287391546164,0.10682358489081431,0.01216006903327977,0.04202191837165754
2011-07-29,ff3f,0.05800248116748618,0.1334047532701233,0.042473334352994,0.09995872224728264,-0.04067178255768271,-0.021103231478071062,0.022165767671157948,0.1017140349275111,-0.01629985941445884,0.017614184929808686
2011-08-31,historical_mean,0.02832761873302178,0.050779247543785946,-0.011417382577687126,0.05080918713568197,0.062344715686321564,0.07219820646170283,0.08664776888687703,0.054652223212406856,0.18791018885476718,0.06771592832303197
2011-08-31,capm,0.06171592205171415,0.07548435104571524,0.07353329231550275,0.08274287931192337,-0.0058748495088098976,-0.0016894501278035656,0.014882145767091192,0.0973164674413198,0.009827771282477993,0.038439090046481494
2011-08-31,ff3f,0.05375858796830857,0.1140616706821365,0.04347237024701763,0.10099348141894257,-0.04420029182712736,-0.019374557422271996,0.024011100256945903,0.06553903718431531,-0.003686321562166206,0.017853611987510794
2011-09-30,historical_mean,0.00436764795994392,0.008029917148084265,-0.027489411999931778,0.04018415859424692,0.08409771186104582,0.08230325632286699,0.08729806832809804,0.02755400555260899,0.25901096758145725,0.05948122797891604
2011-09-30,capm,0.03629250661335522,0.04462513779471693,0.04364194787341323,0.049103115720046595,-0.004250703092404706,-0.001107976567277535,0.00898647948719138,0.056482744839834495,0.004851094343986382,0.02223904380598246
2011-09-30,ff3f,0.030603768807028607,0.0689388448460393,0.02677414943365449,0.07581533441668625,-0.04280645565184207,-0.015750822142473933,0.020325060366460618,0.010279042276954583,0.005423708700038706,0.00534774530926784
2011-10-31,historical_mean,0.013354140487171848,-0.004483522367439351,-0.025134529952488306,0.027388053981157047,0.1205607818358353,0.09014563709953444,0.12630289660378605,-0.010286437148266861,0.20650008297677047,0.052507759155688435
2011-10-31,capm,0.04139146813236135,0.05295658893544329,0.05054147098734514,0.05790980397983676,-0.008460858535829851,-0.002779849566853923,0.006520627334807261,0.06931811801454485,0.008716879946502533,0.02613030217895931
2011-10-31,ff3f,0.03606354607332834,0.07440145433084265,0.04274525600545232,0.10769711549706557,-0.0725105406335274,-0.020031439141255093,-0.0032127840128466315,0.010259123162587504,0.06582230189057313,0.02565443093010407
2011-11-30,historical_mean,0.10806698002558679,0.12078484837061665,0.0833827520291619,0.1761029187023268,0.113806125711325,0.08871808699037052,0.14109871125159337,0.1614587125190462,0.2841901734618825,0.11259152177942854
2011-11-30,capm,0.13257706562404636,0.17132948856276717,0.1569586177880302,0.17831118906051846,-0.04895450515627437,-0.02052818696822644,0.017198869682595923,0.20385499076250552,-0.005827240368513486,0.07432339497793217
2011-11-30,ff3f,0.12450754064627442,0.18096621664530574,0.14297410074247302,0.2332026803067097,-0.15738780879229625,-0.05016246146407421,0.001930983774413214,0.07093795178501058,0.047100792759376287,0.0686536230236357
2011-12-30,historical_mean,0.13075875147165567,0.1618505237255185,0.09799463865315383,0.20370761756449968,0.07569897860682162,0.06575226742929693,0.11941100159621473,0.2344417312937298,0.2502229211979775,0.12239306511896783
2011-12-30,capm,0.15723640296729846,0.19893197361662668,0.18965045448639334,0.21091524738004105,-0.046051956673833286,-0.0173704393697086,0.025321395333356388,0.22317193524703377,0.005074284463817427,0.0919362972514639
2011-12-30,ff3f,0.14837059816782389,0.21532084422832032,0.17180437584358066,0.2627141950132454,-0.15617673439081417,-0.050750519951055784,0.009857770525367928,0.11565666996863969,0.04377098232810917,0.08033626282622111
2012-01-31,historical_mean,0.13097401015564417,0.147917091466917,0.06234181752865116,0.15640022154467076,0.04433050123507679,0.05555432040292266,0.08770691893003923,0.19871989504030968,0.1878130676882119,0.1314486061499549
2012-01-31,capm,0.15391802096151969,0.19456104773562954,0.18536643383328638,0.20639423831550818,-0.046083975198324814,-0.017396460786500454,0.02381152979962451,0.21732154112400193,0.005706177035581544,0.08992366334890728
2012-01-31,ff3f,0.14692966946265992,0.20050790017585357,0.17500565557333603,0.2575396237365663,-0.14810710396568028,-0.04728041959166909,0.005393770080789229,0.10814285842798907,0.05898865091266135,0.08153043826811807
2012-02-29,historical_mean,0.17464529990726527,0.20481251275237417,0.12869530057733006,0.2236652746248915,0.08992107562407409,0.07163097354172125,0.10083670657141022,0.28358207828716364,0.20582368527656886,0.15162379911186474
2012-02-29,capm,0.19546372525556865,0.24960523916382388,0.22868231006388234,0.26889833750113634,-0.09213733490633746,-0.032571773100026624,0.028541031737747306,0.26173495401852576,0.02118483343306568,0.10536509352435103
2012-02-29,ff3f,0.1905568776829772,0.2554443218032569,0.23294702565697673,0.31456116736293127,-0.12923960106009366,-0.04138603050225355,0.016260940511851146,0.18819511422424137,0.06341148186292608,0.1042599273033883
2012-03-30,historical_mean,0.22669909416794204,0.25581411420943817,0.18098737657326494,0.262372215096375,0.08629562604850809,0.07040296497260964,0.12405010885288532,0.3563027122231171,0.19100669481248778,0.19197223463358976
2012-03-30,capm,0.23768000253262922,0.3084287235114815,0.28871561534687956,0.3591652023492123,-0.14303616798309957,-0.05297410066360541,0.01959737361709145,0.2850732653243711,0.025937559587948474,0.11886951579755267
2012-03-30,ff3f,0.23776637788883784,0.2976895087219188,0.30090762694470763,0.3891070376127327,-0.15740728477548124,-0.05139727321568814,0.018059052563426617,0.22934425311178608,0.06670084625649363,0.12845924640071002
2012-04-30,historical_mean,0.2105776755088688,0.23909042835667416,0.15552875924567428,0.19988658004596868,0.05864299277531952,0.05418962833987312,0.11770945590361742,0.3612785176028686,0.19514027773785514,0.18828278343844318
2012-04-30,capm,0.2200204086841365,0.29018639769396193,0.26811373463150673,0.3218494868901997,-0.14753434290679754,-0.05765938234395224,0.019368664706443744,0.27735053576584734,0.03249389476782465,0.11128026659339624
2012-04-30,ff3f,0.21991079747891665,0.2781659668639395,0.28039671789253323,0.35446276511727515,-0.15811395738594,-0.054029476421311645,0.01800130650639853,0.2186485807839568,0.07208844748029741,0.12049060475324377
2012-05-31,historical_mean,0.17677333241603954,0.1859467700801139,0.11219127673101939,0.14597097164286962,0.09839803915572626,0.07172921207678301,0.1121678063112293,0.2814728630779776,0.2059495424872238,0.17533627078186587
2012-05-31,capm,0.18516202337570253,0.23982477663648927,0.22546304589834418,0.26747379237307667,-0.12026862513373973,-0.046721215371182956,0.013799568582603183,0.2012235327900079,0.041599511640204596,0.09650356339049465
2012-05-31,ff3f,0.18571651378119686,0.22386396834480993,0.24312016235704476,0.30638020093484675,-0.1345550317324934,-0.04316126071554949,0.014947473525232551,0.1535270515765163,0.07989476099530045,0.10722186516814106
2012-06-29,historical_mean,0.13719199555739128,0.152114567747668,0.0315017233048597,0.05892533596192251,0.13975110040882072,0.08815664760831757,0.10704742385118901,0.25749703590093387,0.15164934415842443,0.1548605111201766
2012-06-29,capm,0.1487404405448573,0.1930877194910404,0.18120725324999748,0.21123480408334966,-0.09898710719710768,-0.03648980328096628,0.009912658641517356,0.16291773924151048,0.03762379749218267,0.07467363846093512
2012-06-29,ff3f,0.14686789769453584,0.19196391772601218,0.18805559048177353,0.24645802294259117,-0.11551563171939724,-0.036153970327096,0.007702230827415328,0.12147117139014438,0.06823763251403869,0.07805369768299769
2012-07-31,historical_mean,0.1506700154506529,0.16255145665741216,0.058905747865332314,0.08288506231468408,0.13161528504836378,0.08863553054900203,0.10043857774687812,0.286228588474061,0.17727153676100046,0.16611461610183853
2012-07-31,capm,0.15984530281268317,0.2079349870254622,0.19629761642303128,0.2270314177019839,-0.10724542325597566,-0.03985885510574879,0.010878754751250335,0.1743381838230639,0.03929453323467161,0.08055612370639144
2012-07-31,ff3f,0.15948002939708794,0.1998030908185648,0.2064181923922085,0.2575555388234871,-0.119522557924638,-0.03695726964847939,0.008958749262120154,0.14051473544781407,0.07203822186166728,0.08636004413359812
2012-08-31,historical_mean,0.13060537516004686,0.12819432527391753,0.027276827779338993,0.04796948594600799,0.14218832679256205,0.09051239961842049,0.09675599136437302,0.2587391106141832,0.17221209721182137,0.1527820356827692
2012-08-31,capm,0.137822738313716,0.17986304822343305,0.16709616229577173,0.19417418983823392,-0.09683568591148117,-0.03629133075474497,0.00520554985505358,0.14867584301379033,0.03466474217017657,0.0668724071294354
2012-08-31,ff3f,0.13842653933675145,0.16214363953312705,0.1859931360244088,0.23156374436304977,-0.10510301303342695,-0.02878763227774124,0.009454976624749872,0.10778502972632126,0.07529918658565887,0.07962572806184819
2012-09-28,historical_mean,0.12676227553718505,0.1301387251341265,0.023094151510819505,0.0537373726180137,0.13040831950403525,0.08758666375614065,0.09223811840202939,0.21406954801981248,0.18810521271405067,0.14713427901051848
2012-09-28,capm,0.1351366140868821,0.17709349581646844,0.16371392145676927,0.19199402202189256,-0.09642633855888974,-0.03596546754986372,0.004727005840392906,0.14150276593470895,0.03555550095994064,0.06547677663097037
2012-09-28,ff3f,0.13453961224076458,0.16167703860045418,0.19457635828574177,0.2509521580680386,-0.10544772783980205,-0.023530238603674602,0.008721628637338741,0.1149984947467888,0.10058574827807587,0.07743059856181696
2012-10-31,historical_mean,0.12349309538566827,0.12279040021407073,0.019596968080350646,0.038333450492197677,0.11376196738285752,0.08269667445441953,0.09007316538633238,0.1865184532191433,0.18441706653630632,0.1420813483914423
2012-10-31,capm,0.1310169749762043,0.1711505584133426,0.15861618334670555,0.1838094546817297,-0.09582602647252406,-0.03559180698368271,0.004207547277393446,0.13462742576865067,0.03340366268242673,0.06298552857400501
2012-10-31,ff3f,0.13117039909942912,0.15144096727249493,0.19017007006696648,0.23914442214547627,-0.09748880362008201,-0.020957446753412698,0.00994194439940343,0.11555234218770691,0.09500323301672167,0.07732418191850896
2012-11-30,historical_mean,0.12384193664650142,0.13784986626693813,0.031745534311401556,0.04856031890383732,0.12098146201357513,0.08183364856975506,0.0961917301696554,0.19869726534203974,0.16227330468898932,0.1331532019836635
2012-11-30,capm,0.1339202105532973,0.1720412481245688,0.16036338246338008,0.18635482432465472,-0.09992662554435738,-0.03645742468332854,0.003178343878090202,0.13527443875527417,0.03814529085013031,0.06609562860220553
2012-11-30,ff3f,0.13344702880677423,0.16475976245355453,0.1691865544918587,0.21062616874126078,-0.08724811945229713,-0.02313817122964927,0.006866358652764758,0.12753796055132166,0.07399739183290584,0.07310598188674335
2012-12-31,historical_mean,0.10579533357340151,0.12942696957902688,0.028067757513577637,0.028508182804810288,0.12080445823703252,0.07842501083258739,0.08732560674568521,0.17661876468312507,0.12060235144372952,0.12718031424740522
2012-12-31,capm,0.11795942430223015,0.1549131681515134,0.14290848078220356,0.16382898269326318,-0.09084358162008477,-0.03405281428006106,0.0021673217015878068,0.1194357132835851,0.026607063764134256,0.058177203027989
2012-12-31,ff3f,0.11593498823391779,0.15693226610447075,0.14675708431385853,0.1897586379893309,-0.08296103530602447,-0.02383046201114457,0.0018467314119378086,0.11309306754716995,0.06029151103733518,0.06156614969219246
2013-01-31,historical_mean,0.10245306818443725,0.11585506349474695,0.040003649937462187,0.039704202640342294,0.13426033143234783,0.0902844001302649,0.09318524340207622,0.16504710197346717,0.13733266386141177,0.12092440699999915
2013-01-31,capm,0.11300556195833739,0.1469553703262999,0.13724959382530544,0.15667956887207393,-0.08511403920743779,-0.031219782430984777,0.002896253224506532,0.11313863203679288,0.027939584452483342,0.05616567845782014
2013-01-31,ff3f,0.11291778769484007,0.1395842757103115,0.14162258766065183,0.16624043319089482,-0.07463877323276642,-0.02187503859811863,0.006245527494607264,0.1060528653476266,0.04995549959535139,0.06416234673604101
2013-02-28,historical_mean,0.13143388688632396,0.1487028319917448,0.06953202452360853,0.06564763896263551,0.11461455854049629,0.0781376643392632,0.08469693370916545,0.19621177162337128,0.13986138512582305,0.1426457284993094
2013-02-28,capm,0.14081887047778638,0.18397608544196442,0.1695848030486577,0.18783744586748952,-0.10915984093795786,-0.03959480676246023,0.0020806627443707383,0.1370832583426032,0.031185871641499427,0.07223676385087831
