date,risk_parity|none|calendar,risk_parity|none|threshold,markowitz|historical_mean|calendar,markowitz|historical_mean|threshold,mean_cvar|historical_mean|calendar,mean_cvar|historical_mean|threshold,markowitz|capm|calendar,markowitz|capm|threshold,mean_cvar|capm|calendar,mean_cvar|capm|threshold,markowitz|ff3f|calendar,markowitz|ff3f|threshold,mean_cvar|ff3f|calendar,mean_cvar|ff3f|threshold,60_40|none|calendar,equal_weight|none|calendar
2010-02-26,1.0164519057414307,1.0164519057414307,1.0153235081162872,1.0153235081162872,1.0137798736530035,1.0137798736530035,1.0054362729746413,1.0054362729746413,1.011351826998926,1.011351826998926,1.002669060632153,1.002669060632153,1.0116843472044939,1.0116843472044939,1.0173471082938679,1.0221596395113342
2010-03-31,1.0374033219701257,1.0379875775731398,1.0126524225077438,1.0126524225077438,1.0162517830286955,1.015456103082582,0.9929462059631232,0.9925164125484071,1.0138909511671064,1.0132789709319177,0.9969189799658755,0.9969475586372826,1.0155658441481035,1.0154371465284167,1.0461364288116486,1.0629112721569525
2010-04-30,1.0609654754788314,1.0616373320404389,1.0443623690450692,1.044957911780288,1.0372272637751496,1.0372263033231954,1.0200240962560214,1.019582582267862,1.0308778040211592,1.0312841512605864,1.0204077405428615,1.0204369925664505,1.0339845291949712,1.0336029690025819,1.0697466891130631,1.087460831795983
2010-05-31,1.0471672589486958,1.045564723105624,1.0658472863096777,1.0650007639579138,1.0473437396223235,1.0469565895321034,1.0521386295128399,1.0516832148573254,1.0342737049118786,1.0394995022807894,0.9981204313691369,0.9981490444825454,1.0359285178281172,1.0384035855167943,1.0406078348606858,1.0480393565117618
2010-06-30,1.0547840549674854,1.0522156727446095,1.097089141131399,1.0962178057236216,1.0736616145511904,1.073264736071648,1.0943241505046593,1.0938504759887318,1.0568345286550829,1.063260752841138,1.0399830039586337,1.040012817146201,1.0576292808730157,1.0601954835105316,1.0324356608930916,1.0379343318821685
2010-07-30,1.0846887841880515,1.0802202159940482,1.0829179318453657,1.0811389997039058,1.0742680942770768,1.074771626613024,1.0830292798245125,1.0826295144828466,1.0714741218949502,1.075397368774987,1.0442202311507915,1.0441093737892206,1.0739479281340043,1.0744561374439976,1.0708372407609148,1.0882618401847122
2010-08-31,1.1025511740866365,1.0972308813164768,1.1250781404564334,1.1232299508505035,1.1073546083071983,1.1126900966345996,1.1462783080778067,1.1459614745378144,1.1016825704285722,1.1082908773770401,1.0320632829101923,1.0319537161644958,1.1004551770422024,1.1038168071293153,1.07787838653246,1.0863092189771677
2010-09-30,1.141778219648838,1.1346272129685973,1.1423175385538853,1.1434303837699487,1.1263505792419224,1.1305521051650256,1.1456562572437126,1.1442192827542632,1.1195021620653312,1.1236042094681886,1.022588488294903,1.0224799274200957,1.1203320626905318,1.1210418401475768,1.124929302917967,1.1475200116235864
2010-10-29,1.1545935233909692,1.1479282124953278,1.1534940524691344,1.1570565068078955,1.1363029861668204,1.1401658310832614,1.1335801830944439,1.1317030534521324,1.1279102809269825,1.1289841479628777,1.038466568259668,1.0383563217231593,1.1284294048907242,1.1291443123544405,1.1306035002075348,1.1723837734369977
2010-11-30,1.1450424632011986,1.13878985933188,1.1518322357553634,1.1562514724475776,1.1293553884440626,1.1331946151065067,1.1266347008425361,1.125079968870348,1.1179170305327464,1.1188388447161843,1.0443680347371163,1.0447756947006035,1.122163663565216,1.1223784742767229,1.1229637044800969,1.160951699331031
