date,model,signal,SPY,IWM,EFA,EEM,TLT,IEF,LQD,VNQ,GLD,XLP
2010-02-26,risk_parity,none,0.07524313741995857,0.06651092066583837,0.05593521201410331,0.048275285038241966,0.14200467253445376,0.22272984401980472,0.13470462395501484,0.04148249432463961,0.11124515884362073,0.10186865118432416
2010-02-26,markowitz,historical_mean,0.0,0.0,0.0,0.0,0.01222017071735318,0.39999999999999825,0.18823523564047612,0.0,0.3995445936421721,4.947561649698021e-16
2010-02-26,mean_cvar,historical_mean,4.482479122729903e-17,9.516657649425744e-19,8.663585281615501e-17,1.9690148296647935e-18,0.03957130274019145,0.4,0.20305505768225504,1.0264473951949917e-17,0.19611696837088133,0.16125667120667203
2010-02-26,markowitz,capm,7.293528843535244e-17,0.0,0.0,1.1498343167732942e-16,0.4,0.3999999999999999,0.03868760909784755,9.480312359789128e-17,0.16131239090215188,3.845952077772407e-16
2010-02-26,mean_cvar,capm,7.256385559857848e-18,3.1958613322407058e-21,5.244939213178287e-19,3.607041925093511e-18,0.09463705861717207,0.3999999999999999,0.21690425554814885,1.1526747670350962e-17,0.10424000223644407,0.18421868359823498
2010-02-26,markowitz,ff3f,0.0,0.0,0.0,0.0,0.19999999999984366,0.3999999999998819,0.3999999999999304,0.0,3.441691376337386e-13,0.0
2010-02-26,mean_cvar,ff3f,1.1814760969378597e-17,0.014089839856798382,7.509377205025693e-18,1.5650306241570517e-18,0.058578456989120536,0.3999999999999999,0.25855312014210985,2.7881584970254014e-18,0.09574638079091409,0.17303220222105703
2010-03-31,risk_parity,none,0.07485292509957711,0.06618664662722822,0.056085259905390206,0.04827008629689982,0.14288050507192862,0.22325054044054482,0.13506080075320853,0.0412950105698792,0.11098711210667668,0.10113111312866681
2010-03-31,markowitz,historical_mean,1.7808822768546075e-15,6.415128508627668e-16,2.0002971317715373e-15,4.600585058840961e-16,0.0,0.39999999999999863,0.1342829951006391,3.755011300247251e-15,0.39999999999999364,0.06571700489936015
2010-03-31,mean_cvar,historical_mean,5.07630732863727e-18,2.706358315429093e-17,1.3505812883767491e-17,1.49469956290269e-17,0.02986393805589219,0.4,0.18839960010100973,0.0,0.19806120937217872,0.18367525247091923
2010-03-31,markowitz,capm,0.0,3.917127193156893e-16,1.3418090328932407e-16,3.393152966392837e-16,0.3909583173358788,0.39999999999999947,0.07015845435447457,8.576936020711702e-16,0.13888322830964533,0.0
2010-03-31,mean_cvar,capm,2.5956458385980524e-17,8.035567041197069e-21,5.3795851881908816e-18,2.0914021988259852e-20,0.07337459069492976,0.4,0.23264844429161965,0.0,0.10328813382345452,0.1906888311899962
2010-03-31,markowitz,ff3f,3.650991346622075e-15,0.0,3.0514556697492457e-15,6.169067907593456e-15,0.1999999999999945,0.3999999999999994,0.3999999999999837,4.495976048387753e-15,0.0,5.191128870723088e-15
2010-03-31,mean_cvar,ff3f,1.8467343707216984e-17,0.01048235814866394,5.908510685830962e-18,0.0,0.05212002871966056,0.39999999999999997,0.2660225251938352,8.010249136023163e-18,0.08761644305165356,0.18375864488618687
2010-04-30,risk_parity,none,0.074030183761048,0.06531360797799418,0.05551593113607656,0.04783430048666745,0.14393394135345797,0.225608060391147,0.13507859886003243,0.04085205098356637,0.11156782952886436,0.1002654955211456
2010-04-30,markowitz,historical_mean,1.437498879070972e-16,0.0,2.5084949477476577e-17,0.0,6.157679308375636e-16,0.38974879907852183,0.14158407917749588,9.958656572894423e-16,0.3910118025625756,0.07765531918140484
2010-04-30,mean_cvar,historical_mean,1.9459884114183985e-18,3.661785005732714e-17,7.620161780603114e-20,1.3521506569423487e-17,0.015092180591750054,0.4,0.19732040595398934,6.717592775505917e-20,0.2001702766292505,0.1874171368250101
2010-04-30,markowitz,capm,0.0,0.0,1.4554937962432874e-16,0.0,0.2713071879711911,0.3999999999999997,0.19346666555744452,2.3934459912542785e-16,0.13522614647136444,0.0
2010-04-30,mean_cvar,capm,8.787344061946923e-18,3.2324504627743426e-17,0.0,0.0,0.0673709173861321,0.4,0.2328865280675971,2.014533978596285e-17,0.09734172733185677,0.20240082721441405
2010-04-30,markowitz,ff3f,2.9954871120713324e-16,0.1135174877615051,8.333041071967871e-16,1.8231057608227576e-15,0.08648251223849289,0.39999999999999913,0.39999999999999686,9.590707528533524e-16,9.048259110672847e-16,1.2569173168065226e-15
2010-04-30,mean_cvar,ff3f,4.6966475929376e-18,0.029188063547358114,1.3108041763246837e-17,2.944813947071906e-17,0.05368127969187177,0.4,0.2661340632509728,1.7713251101320697e-17,0.08237630904850267,0.1686202844612947
2010-05-31,risk_parity,none,0.07452594548948094,0.0647522196585292,0.05637415818789984,0.04826493557283326,0.14307273736033624,0.2250826791833924,0.1350230458687026,0.04050303375863837,0.11056496452210345,0.1018362803980837
2010-05-31,markowitz,historical_mean,0.0,1.9342017495046936e-16,0.0,0.0,0.0,0.39999999999999947,0.17745572539393967,0.0,0.39999999999999947,0.02254427460606119
2010-05-31,mean_cvar,historical_mean,2.1085709433033348e-17,4.9106258870900755e-17,6.213182644016804e-18,2.5919922785574352e-17,0.02844311089161849,0.4,0.2027694610476047,4.44587256164895e-20,0.21219292704551662,0.1565945010152601
2010-05-31,markowitz,capm,8.907617332531024e-18,0.0,8.76730284014729e-17,0.0,0.3390976241736853,0.39999999999999986,0.1269007289969953,0.0,0.13400164682931942,7.2131627577645e-17
2010-05-31,mean_cvar,capm,0.03426498705794086,2.8415316618338873e-22,3.907759386920427e-17,0.0,0.06290082626942067,0.3999999999999999,0.2247157809098958,1.9938080493867778e-20,0.08978902143843408,0.18832938432430846
2010-05-31,markowitz,ff3f,0.0,0.32673242668127267,0.0,0.0,0.0,0.27326757331925516,0.3999999999994723,0.0,0.0,0.0
2010-05-31,mean_cvar,ff3f,0.0021288966440328023,0.036444050069398735,9.040666136538587e-18,1.3544011678245925e-17,0.05229825528189526,0.4,0.26025142214441266,3.881635982031913e-18,0.06915898179634362,0.1797183940639169
2010-06-30,risk_parity,none,0.07315459077011084,0.06377822033122482,0.055133123088149556,0.04744049803021889,0.14528992100132088,0.2297372514314704,0.1339943094729068,0.04030715004719579,0.11100305652590955,0.10016187930149259
2010-06-30,markowitz,historical_mean,2.352020866720932e-16,0.0,0.0,0.0,0.04526444464381177,0.3999999999999997,0.15473555535618858,2.6049050742271616e-16,0.3999999999999997,0.0
2010-06-30,mean_cvar,historical_mean,1.9567404471928534e-17,6.495333611294289e-19,1.1239105940907945e-16,0.0,0.060904647972740984,0.4,0.2020038470356472,2.2301919769762647e-18,0.2317755261456964,0.1053159788459152
2010-06-30,markowitz,capm,0.0,0.0,0.0,0.0,0.3999999999999929,0.3999999999999918,6.724655554624039e-15,0.0,0.20000000000000154,6.8112564625619915e-15
2010-06-30,mean_cvar,capm,2.646349799239949e-05,1.4836871497598488e-17,1.8334185948913898e-17,7.548991283152916e-19,0.07947730593213737,0.4,0.2285576969232912,9.474330344678755e-18,0.10001830371153796,0.19192022993504118
2010-06-30,markowitz,ff3f,7.146060733610765e-17,0.0,0.0,1.2453337794372847e-16,0.4000000000000009,0.4000000000000009,0.1999999999999977,6.537808583259061e-17,1.7451521720931856e-16,0.0
2010-06-30,mean_cvar,ff3f,2.3930090138948916e-17,0.021127721233800672,0.0,7.242662269839674e-18,0.07677952834232503,0.4,0.25891449332650585,5.384436739211583e-18,0.07380067328241631,0.16937758381495213
2010-07-30,risk_parity,none,0.07305184326872122,0.06371540841087109,0.05472966304970578,0.046882636631845706,0.14500944346710087,0.2301420023937446,0.1337897166533047,0.04059006535288655,0.11160444435325471,0.10048477641856463
2010-07-30,markowitz,historical_mean,7.175929215273972e-17,1.9171848090812392e-16,2.9060785831411104e-15,8.632995125785174e-16,0.06548938426783817,0.3999999999999961,0.1563713208080753,3.504375458578153e-16,0.3781392949240861,0.0
2010-07-30,mean_cvar,historical_mean,8.639011769013527e-17,1.0215498013412383e-17,0.0,3.496089152881716e-17,0.06223405778086044,0.39999999999999997,0.20424842354759107,5.009987707064678e-19,0.24012315966098732,0.09339435901056126
