date,RP CAL,RP THR,MKT HM CAL,MKT HM THR,MCVAR HM CAL,MCVAR HM THR,MKT CAPM CAL,MKT CAPM THR,MCVAR CAPM CAL,MCVAR CAPM THR,MKT FF3F CAL,MKT FF3F THR,MCVAR FF3F CAL,MCVAR FF3F THR,60/40 CAL,EW CAL
2012-08-31,1.387133,1.381723,1.348654,1.361775,1.326812,1.340655,1.175741,1.176648,1.344955,1.344572,1.136621,1.143796,1.331088,1.327476,1.460515,1.379524
2012-09-28,1.396509,1.390507,1.349404,1.35922,1.32459,1.338356,1.20608,1.207128,1.35664,1.35699,1.173065,1.18047,1.34508,1.34143,1.467907,1.402276
2012-10-31,1.388943,1.382189,1.338998,1.348513,1.313901,1.327556,1.190873,1.191928,1.348405,1.348731,1.166808,1.174173,1.338079,1.333569,1.449002,1.391108
2012-11-30,1.399614,1.392565,1.348603,1.358186,1.323202,1.336955,1.203178,1.205018,1.357298,1.357852,1.181083,1.188538,1.348154,1.343669,1.460632,1.402186
2012-12-31,1.382835,1.381801,1.317513,1.325356,1.289913,1.298812,1.229531,1.232761,1.3293,1.332032,1.184594,1.191827,1.318224,1.31163,1.444677,1.410566
2013-01-31,1.387899,1.387239,1.32618,1.334115,1.300027,1.308962,1.292012,1.293558,1.343354,1.350869,1.2196,1.227046,1.332499,1.325832,1.470618,1.435766
2013-02-28,1.397353,1.395592,1.343559,1.351402,1.317235,1.326288,1.305076,1.304119,1.360517,1.369693,1.229138,1.236642,1.348345,1.341397,1.489104,1.43801
2013-03-29,1.413562,1.412712,1.366772,1.373469,1.340787,1.350814,1.353133,1.34973,1.38546,1.396991,1.26001,1.269705,1.372061,1.364824,1.520531,1.462875
2013-04-30,1.444453,1.442376,1.399369,1.404045,1.374369,1.387122,1.381342,1.377901,1.414252,1.425913,1.285221,1.294922,1.402306,1.390513,1.566522,1.489625
2013-05-31,1.395303,1.393987,1.361004,1.367154,1.331101,1.345101,1.392688,1.386938,1.38935,1.401911,1.25139,1.260835,1.365852,1.354229,1.546328,1.446408
2013-06-28,1.353762,1.352521,1.3339,1.339734,1.305055,1.318678,1.374122,1.368381,1.361298,1.373669,1.22569,1.234941,1.333256,1.32191,1.513647,1.399241
2013-07-31,1.379425,1.377052,1.365552,1.371525,1.335316,1.349255,1.450403,1.445207,1.402478,1.411271,1.271184,1.280778,1.368287,1.356643,1.546892,1.441627
2013-08-30,1.352088,1.351099,1.32801,1.333483,1.29725,1.310791,1.404126,1.398357,1.367687,1.376323,1.23299,1.24315,1.335074,1.325066,1.510709,1.411695
2013-09-30,1.381886,1.379195,1.359298,1.362807,1.328285,1.33967,1.473572,1.466627,1.40747,1.416357,1.273337,1.28376,1.369727,1.359404,1.54332,1.451185
2013-10-31,1.417125,1.413212,1.405448,1.410086,1.370835,1.382609,1.530585,1.522466,1.446196,1.455328,1.324493,1.335797,1.410878,1.400012,1.595012,1.493348
2013-11-29,1.408854,1.405697,1.416539,1.420786,1.381498,1.393364,1.564577,1.560152,1.463664,1.473013,1.33749,1.350464,1.423522,1.414135,1.606105,1.484789
2013-12-31,1.392878,1.400717,1.413964,1.421861,1.379468,1.391997,1.584991,1.589302,1.458674,1.468704,1.349103,1.362331,1.41975,1.411047,1.607904,1.473415
2014-01-31,1.400421,1.408508,1.406727,1.411749,1.373276,1.382313,1.52784,1.53381,1.443404,1.45325,1.3121,1.323552,1.400987,1.392506,1.614401,1.464022
2014-02-28,1.437646,1.444921,1.443129,1.448134,1.408999,1.418236,1.599488,1.606949,1.483385,1.493504,1.3683,1.380194,1.441069,1.432423,1.661795,1.51681
2014-03-31,1.442051,1.44844,1.451976,1.456938,1.417135,1.426566,1.60692,1.611145,1.486852,1.496405,1.37476,1.388429,1.445037,1.436296,1.674901,1.521617
2014-04-30,1.458202,1.464409,1.467171,1.468885,1.430001,1.437817,1.601157,1.603076,1.492454,1.502488,1.397794,1.411752,1.462605,1.453746,1.695924,1.53696
2014-05-30,1.48354,1.490178,1.498686,1.500274,1.46009,1.468009,1.627909,1.629271,1.51869,1.528843,1.424135,1.437356,1.490842,1.480425,1.739535,1.560149
2014-06-30,1.499257,1.505088,1.511153,1.511849,1.473498,1.480355,1.671158,1.67423,1.538884,1.54839,1.43386,1.449645,1.500208,1.491334,1.759329,1.587275
2014-07-31,1.481534,1.486915,1.487449,1.490555,1.449546,1.456296,1.618383,1.618569,1.50524,1.514445,1.405837,1.419806,1.475411,1.468721,1.749799,1.562833
2014-08-29,1.526246,1.532498,1.550407,1.553562,1.509635,1.516665,1.678932,1.678887,1.554513,1.565917,1.452926,1.467193,1.519642,1.514074,1.824275,1.607236
2014-09-30,1.485224,1.493478,1.52237,1.528334,1.482418,1.489322,1.620095,1.619547,1.514481,1.525595,1.422096,1.43606,1.492688,1.48687,1.793754,1.550273
2014-10-31,1.520094,1.5305,1.566649,1.572791,1.529196,1.536318,1.679077,1.680266,1.572074,1.58361,1.457358,1.471668,1.530238,1.524273,1.839317,1.590728
2014-11-28,1.54614,1.558996,1.615046,1.62259,1.577579,1.583968,1.709069,1.707998,1.599121,1.610856,1.493159,1.50782,1.568258,1.562145,1.891463,1.612329
2014-12-31,1.537636,1.556516,1.601661,1.611697,1.568598,1.578587,1.69192,1.700867,1.583555,1.589134,1.454819,1.474052,1.536143,1.522978,1.908061,1.603925
2015-01-30,1.584592,1.605035,1.613221,1.624056,1.575214,1.585244,1.660383,1.668851,1.547401,1.552853,1.430477,1.451883,1.511602,1.499799,1.949024,1.64582
2015-02-27,1.588577,1.601498,1.639661,1.650578,1.604594,1.621453,1.751503,1.76024,1.620776,1.626487,1.505474,1.526867,1.584396,1.58013,1.966777,1.657024
2015-03-31,1.585529,1.598921,1.63099,1.641516,1.596099,1.613444,1.741119,1.749635,1.61222,1.618173,1.484364,1.504466,1.563453,1.557099,1.956727,1.652066
2015-04-30,1.576089,1.587206,1.61049,1.620816,1.575735,1.592868,1.743568,1.75128,1.607501,1.613461,1.493115,1.513241,1.561663,1.555095,1.941439,1.646919
2015-05-29,1.570413,1.58094,1.614307,1.623141,1.579408,1.596581,1.763365,1.771749,1.622008,1.62807,1.504302,1.527949,1.572157,1.565545,1.937949,1.641649
2015-06-30,1.535675,1.545247,1.58165,1.590176,1.548674,1.565512,1.740507,1.748624,1.604505,1.610329,1.476668,1.501003,1.546043,1.53954,1.882733,1.604029
2015-07-31,1.552425,1.567134,1.614252,1.622953,1.578262,1.595422,1.769908,1.774975,1.623131,1.629022,1.508705,1.53545,1.571145,1.564537,1.942466,1.617831
2015-08-31,1.498711,1.517319,1.527742,1.535978,1.498884,1.515181,1.656825,1.661577,1.519415,1.52493,1.413115,1.437379,1.471049,1.464862,1.866053,1.555247
2015-09-30,1.488676,1.512739,1.503489,1.511594,1.483238,1.499366,1.609094,1.611931,1.490344,1.495754,1.376606,1.401788,1.446222,1.44014,1.852116,1.541729
2015-10-30,1.538905,1.563602,1.584652,1.593194,1.538425,1.555152,1.718815,1.721708,1.551641,1.557273,1.472646,1.499653,1.508518,1.502174,1.943569,1.603954
2015-11-30,1.525505,1.549913,1.586595,1.594433,1.540047,1.556792,1.730562,1.734688,1.558402,1.561525,1.473979,1.502602,1.510538,1.504185,1.941006,1.588832
2015-12-31,1.497632,1.525236,1.561564,1.567444,1.508439,1.521888,1.682949,1.693525,1.521095,1.522065,1.448109,1.48394,1.483547,1.478125,1.899263,1.560072
2016-01-29,1.490909,1.515067,1.544687,1.550504,1.49834,1.511699,1.595634,1.608438,1.485372,1.486319,1.394461,1.428961,1.460267,1.454854,1.884854,1.540438
2016-02-29,1.512831,1.53735,1.55789,1.563757,1.512672,1.526159,1.586623,1.599237,1.501706,1.502664,1.382195,1.41639,1.472359,1.466901,1.907088,1.558929
2016-03-31,1.577392,1.601675,1.616054,1.62332,1.560385,1.574681,1.699285,1.712689,1.56184,1.562499,1.466919,1.502279,1.528935,1.523268,1.983317,1.64011
2016-04-29,1.588904,1.613136,1.607789,1.61485,1.556655,1.570976,1.71226,1.725956,1.572154,1.572675,1.470455,1.505923,1.535349,1.529658,1.982101,1.651015
